date,time,symbol,strike,expiry,open,high,low,close,volume,oi,coi
250701,34200,QQQ250711C00560000,560,250711,217,221,212,221,11,8,0
250701,34200,QQQ250711C00565000,565,250711,107,111,107,109,110,4,0
250701,34200,QQQ250711C00570000,570,250711,49,49,49,49,1,1,0
250701,34200,QQQ250711C00575000,575,250711,24,24,24,24,2,1,0
250701,34200,QQQ250711C00580000,580,250711,12,12,12,12,2,1,0
250701,34200,QQQ250711C00585000,585,250711,8,8,7,7,3,2,0
250701,34200,QQQ250714C00550000,550,250714,689,689,689,689,1,1,0
250701,34200,QQQ250714C00555000,555,250714,438,438,438,438,2,1,0
250701,34200,QQQ250714C00560000,560,250714,256,256,254,254,2,2,0
250701,34200,QQQ250714C00565000,565,250714,134,134,134,134,2,2,0
250701,34200,QQQ250714C00570000,570,250714,70,70,70,70,10,2,0
250701,34200,QQQ250718C00465000,465,250718,8599,8599,8599,8599,1,1,0
250701,34200,QQQ250718C00505000,505,250718,4721,4721,4721,4721,5,1,0
250701,34200,QQQ250718C00519000,519,250718,3333,3333,3333,3333,1,1,0
250701,34200,QQQ250718C00530000,530,250718,2391,2391,2391,2391,5,1,0
250701,34200,QQQ250718C00535000,535,250718,1944,1944,1944,1944,3,1,0
250701,34200,QQQ250718C00536000,536,250718,1868,1868,1868,1868,30,1,0
250701,34200,QQQ250718C00538000,538,250718,1707,1707,1707,1707,1,1,0
250701,34200,QQQ250718C00540000,540,250718,1550,1565,1543,1565,15,9,0
250701,34200,QQQ250718C00541000,541,250718,1481,1481,1481,1481,20,1,0
250701,34200,QQQ250718C00543000,543,250718,1341,1341,1341,1341,1,1,0
250701,34200,QQQ250718C00548000,548,250718,990,990,990,990,3,1,0
250701,34200,QQQ250718C00549000,549,250718,949,949,949,949,1,1,0
250701,34200,QQQ250718C00550000,550,250718,865,886,865,878,16,8,0
250701,34200,QQQ250718C00551000,551,250718,823,823,823,823,1,1,0
250701,34200,QQQ250718C00552000,552,250718,759,774,759,772,11,7,0
250701,34200,QQQ250718C00553000,553,250718,700,723,700,719,6,5,0
250701,34200,QQQ250718C00554000,554,250718,660,670,660,670,7,3,0
250701,34200,QQQ250718C00555000,555,250718,609,626,609,617,20,11,0
250701,34200,QQQ250718C00560000,560,250718,407,416,407,407,24,5,0
250701,34200,QQQ250718C00565000,565,250718,254,260,254,260,3,3,0
250701,34200,QQQ250718C00570000,570,250718,156,156,155,156,29,4,0
250701,34200,QQQ250718C00600000,600,250718,10,10,10,10,1,1,0
250701,34200,QQQ250725C00516000,516,250725,3754,3754,3754,3754,1,1,0
250701,34200,QQQ250725C00537500,537,250725,1902,1902,1902,1902,1,1,0
250701,34200,QQQ250725C00552500,552,250725,918,918,918,918,12,1,0
250701,34200,QQQ250725C00553000,553,250725,889,889,889,889,12,1,0
250701,34200,QQQ250725C00554000,554,250725,832,841,832,841,24,2,0
250701,34200,QQQ250725C00555000,555,250725,785,789,780,789,35,5,0
250701,34200,QQQ250725C00560000,560,250725,574,574,574,574,1,1,0
250701,34200,QQQ250725C00570000,570,250725,262,262,262,262,1,1,0
250701,34200,QQQ250731C00465000,465,250731,8711,8711,8711,8711,4,1,0
250701,34200,QQQ250731C00530000,530,250731,2662,2662,2662,2662,4,1,0
250701,34200,QQQ250731C00555000,555,250731,939,939,939,939,1,1,0
250701,34200,QQQ250731C00560000,560,250731,727,727,727,727,3,1,0
250701,34200,QQQ250731C00565000,565,250731,526,526,526,526,1,1,0
250701,34200,QQQ250731C00570000,570,250731,372,372,372,372,2,2,0
250701,34200,QQQ250801C00540000,540,250801,1930,1930,1930,1930,3,1,0
250701,34200,QQQ250801C00550000,550,250801,1287,1287,1287,1287,1,1,0
250701,34200,QQQ250801C00575000,575,250801,286,287,286,287,150,2,0
250701,34200,QQQ250801C00605000,605,250801,31,31,31,31,3,2,0
250701,34200,QQQ250808C00550000,550,250808,1426,1426,1426,1426,1,1,0
250701,34200,QQQ250808C00551000,551,250808,1369,1369,1367,1367,2,2,0
250701,34200,QQQ250815C00520000,520,250815,3784,3784,3784,3784,1,1,0
250701,34200,QQQ250815C00525000,525,250815,3384,3384,3384,3384,1,1,0
250701,34200,QQQ250815C00530000,530,250815,2965,2965,2965,2965,4,1,0
250701,34200,QQQ250815C00550000,550,250815,1571,1583,1563,1572,78,10,0
250701,34200,QQQ250815C00555000,555,250815,1278,1300,1278,1287,78,5,0
250701,34200,QQQ250815C00570000,570,250815,626,631,625,625,21,6,0
250701,34200,QQQ250815C00580000,580,250815,350,350,350,350,1,1,0
250701,34200,QQQ250815C00585000,585,250815,260,263,260,263,12,3,0
250701,34200,QQQ250815C00610000,610,250815,54,54,54,54,1,1,0
250701,34200,QQQ250829C00512000,512,250829,4696,4696,4696,4696,5,1,0
250701,34200,QQQ250829C00556000,556,250829,1519,1519,1519,1519,45,1,0
250701,34200,QQQ250919C00475000,475,250919,8304,8304,8304,8304,1,1,0
250701,34200,QQQ250919C00515000,515,250919,4828,4828,4828,4828,2,1,0
250701,34200,QQQ250919C00530000,530,250919,3657,3657,3657,3657,1,1,0
250701,34200,QQQ250919C00540000,540,250919,2924,2924,2908,2908,27,5,0
250701,34200,QQQ250919C00550000,550,250919,2263,2263,2263,2263,4,1,0
250701,34200,QQQ250919C00560000,560,250919,1687,1687,1687,1687,6,1,0
250701,34200,QQQ250919C00565000,565,250919,1432,1432,1429,1430,9,4,0
250701,34200,QQQ250919C00570000,570,250919,1200,1200,1200,1200,1,1,0
250701,34200,QQQ250919C00575000,575,250919,999,999,999,999,4,1,0
250701,34200,QQQ250919C00695000,695,250919,8,8,8,8,21,1,0
250701,34200,QQQ250930C00471000,471,250930,8747,8747,8747,8747,4,1,0
250701,34200,QQQ250930C00542000,542,250930,2897,2897,2897,2897,1,1,0
250701,34200,QQQ250930C00545000,545,250930,2693,2693,2693,2693,16,1,0
250701,34200,QQQ250930C00565000,565,250930,1549,1549,1549,1549,1,1,0
250701,34200,QQQ250930C00584000,584,250930,802,802,802,802,32,5,0
250701,34200,QQQ251121C00550000,550,251121,3224,3224,3224,3224,2,2,0
250701,34200,QQQ251121C00555000,555,251121,2923,2923,2923,2923,3,1,0
250701,34200,QQQ251121C00565000,565,251121,2354,2354,2354,2354,4,1,0
250701,34200,QQQ251121C00580000,580,251121,1638,1638,1638,1638,3,2,0
250701,34200,QQQ251121C00600000,600,251121,938,938,938,938,3,1,0
250701,34200,QQQ251219C00560000,560,251219,3000,3000,3000,3000,15,1,0
250701,34200,QQQ251219C00570000,570,251219,2463,2463,2463,2463,17,2,0
250701,34200,QQQ251219C00575000,575,251219,2219,2219,2219,2219,5,1,0
250701,34200,QQQ251219C00585000,585,251219,1770,1770,1764,1764,45,2,0
250701,34200,QQQ251219C00589780,589,251219,1579,1579,1579,1579,15,2,0
250701,34200,QQQ251219C00620000,620,251219,707,707,707,707,5,1,0
250701,34200,QQQ251219C00660000,660,251219,217,217,217,217,3,1,0
250701,34200,QQQ251231C00560000,560,251231,3109,3109,3109,3109,1,1,0
250701,34200,QQQ260116C00469780,469,260116,9965,9965,9965,9965,1,1,0
250701,34200,QQQ260116C00480000,480,260116,9114,9114,9114,9114,1,1,0
250701,34200,QQQ260116C00589780,589,260116,1851,1851,1851,1851,1,1,0
